Brand,Model,Color,Memory (in GB),Storage (in GB),Rating,Price
Samsung,Galaxy M07,Black,4,64,4.1,11999
Samsung,Galaxy M36,Velvet Black,6,128,4.1,21999
REDMI,A7 Pro,Mist Blue,4,128,3.4,15999
iQOO,Z10 Lite,Cyber Green 2026,4,64,,7999
iQOO,Z11 Lite,Solar Flame,4,128,4.1,16999
OnePlus,N6,,6,128,3.7,19999
Samsung,Galaxy A56,Awesome Midnight Blue,8,,3.9,26999
Redmi,15 5G,,6,,4.3,34999
Motorola,G57 Power,Regatta,8,128,4.0,21499
OnePlus,Nord CE6,,8,128,4.2,20998
OnePlus,Nord 6,,8,256,4.4,30999
Motorola,G57 Power,Fluidity,8,128,4.3,46999
Samsung,Galaxy M17,Sapphire Black,6,128,4.2,20989
Lava,Bold N2,Indus Black,4,64,4.1,22999
OnePlus,Nord CE6,,8,256,3.8,9999
Motorola,Edge 70,Pantone Country Air,8,128,4.3,41999
Poco,C85X 5G,,4,64,4.1,29415
Motorola,All-New A300-2026,,,,3.5,14065
OnePlus,N6x,,4,128,3.9,1370
REDMI,15C 5G,,6,,3.5,22999
realme,NARZO 90x,Flash Blue 2026,6,128,4.1,19999
realme,NARZO 80,Obsidian Black 2026,4,64,4.2,21499
iQOO,Z11 5G,Aurora Green,8,128,4.1,13999
Zeno,100 Lite,,2,64,4.2,39999
Lava,Bold N2,Billionaire Blue,4,64,4.6,
OnePlus,15R,,12,256,3.4,7999
Motorola,G06,Tapestry,4,64,4.0,13499
realme,P4x 5G,,6,128,4.5,59999
Samsung,Galaxy S25,JetBlack,8,128,3.7,13100
Samsung,Galaxy F07,Green,64,,4.1,21939
Motorola,g37 Power,Pantone Impenetrable,4,64,4.4,48999
Lava,Bold N2,Kolar Gold,3,64,3.8,11888
Motorola,G57 Power,Corsair,8,128,3.8,15495
Tecno,POP X,Ripple Green,4,128,3.8,9299
Samsung,Galaxy M17e,Vibe Violet,4,128,4.2,20949
Nothing,Phone,4b),8,,3.3,15999
Samsung,Galaxy F70e,Spotlight Blue,128,,3.9,
Zeno,100 Pro,,3,64,3.8,18499
Samsung,Galaxy F06,Lit Violet,128,,3.8,35485
iQOO,Z11x 5G,Prismatic Green,8,256,3.4,15763
POCO,M7 Plus 5G,Carbon Black,4,128,3.3,8599
Motorola,Edge 70,Pantone Blue Surf,8,128,3.9,15149
Samsung,Galaxy F36,Black,128,,4.2,33999
Motorola,Moto g37,Pantone Impenetrable,128,,2.9,15999
Itel,Zeno 200,Nightly Blue,4,128,4.2,29280
Nokia,2660 Flip,,,,4.1,23262
Vivo,T4 Lite,,128,4,3.8,
iQOO,Neo 10,Alpine White,8,256,3.4,17375
vivo,S2 5G,Silk White,8,128,3.5,9999
Motorola,Moto g37,Pantone Nautical Blue,128,,3.9,4999
REDMI,Turbo 5,,8,,4.1,18799
Motorola,Edge 60,Pantone Amazonite,12,256,4.4,43999
Samsung,Galaxy F06 5G,Bahama Blue,4,128,3.5,39999
OnePlus,13s,,12,256,3.4,17288
Samsung,Galaxy F70e,Limelight Green,128,,4.2,41999
Motorola,Edge 70,Pantone Silhouette,8,128,4.3,28988
REDMI,Note 15,Glacier Blue,8,256,4.0,
OnePlus,15,,16,512,4.0,13999
realme,narzo 100,Frost Silver,4,128,4.5,54999
Samsung,Galaxy A07,Light Violet,6,128,3.8,15998
realme,NARZO 100x,Midnight Black,6,128,4.1,29049
Motorola,Moto g37,Pantone Nautical Blue,64,,4.1,31999
Samsung,Galaxy F70e,Spotlight Blue,128,,4.6,93999
Moto,g06 Power,Pantone Tendril,64,,4.0,19999
Samsung,Galaxy A06,,4,64,4.1,20499
Motorola,G06 Power,Pantone Laurel Oak,4,64,4.3,23999
AI+,"Pulse 2,",,128,,3.5,15370
REDMI,A7 Pro,Black,4,64,3.8,18011
Samsung,Galaxy F70e,Limelight Green,128,,3.6,13050
Samsung,Galaxy A07,Green,4,64,,53999
Motorola,Moto g37,Pantone Capri,128,,4.4,
Nothing,Phone 4a,,8,,4.1,15699
Motorola,G57 Power,Corsair,8,128,3.8,13718
realme,C71 4G,,4,64,2.6,12699
REDMI,Note 17,Arctic Blue,6,128,3.4,12713
Samsung,Galaxy A17,Black,6,128,3.8,18135
REDMI,Note 15,Coffee Mocha,12,,4.2,12647
Motorola,Edge 60,,12,256,4.2,20490
Poco,C81X,Crystal Black,3,64,4.1,35800
Nothing,Phone 4a,,12,,4.3,20999
Poco,M8 5G,,6,128,3.5,12599
realme,P4R 5G,,6,128,3.0,27999
Samsung,Galaxy S26,Cobalt Violet,12,256,3.9,22999
Samsung,Galaxy F36 5G,Black,6,128,4.0,41999
Motorola,Moto g37,Pantone Impenetrable,64,,3.9,35590
Motorola,Moto g37,Pantone Impenetrable,128,,3.7,10990
Samsung,Galaxy A37,Awesome Lavender,8,256,4.3,40999
Apple,iPhone Air,6.5″) Display with Promotion up to 120Hz,256,,4.1,23703
vivo,T5X 5G,Cyber Green,8,128,4.1,22499
Motorola,G67 Power,Pantone Blue Curacao,8,128,4.4,79999
